ID,English,Bodo,Mizo,Category
1365,young,युवा,tinah,Translation
1366,tall,लंबा,sang,Translation
1367,wide,चौड़ा,sang lei,Translation
1368,narrow,संकीर्ण,tawi lei,Translation
1369,closed,बंद,khum,Translation
1370,expensive,महंगा,sum leng,Translation
1371,cheap,सस्ता,sum nung,Translation
1372,excellent,बेहतरीन,tha tak,Translation
1373,well done,अच्छा किया,thawk tha,Translation
1374,good job,अच्छा काम,tha tak,Translation
1375,try again,फिर कोशिश करो,bei thawh ang,Translation
1376,improve,सुधार,tihchangtlun rawh,Translation
1377,focus,ध्यान,ngaithla,Translation
1378,attention,ध्यान,ngaithla,Translation
1379,red,लुबा,sen,Translation
1380,blue,गुनाउ,dum hring,Translation
1381,green,गिसिन,hring,Translation
1382,yellow,गोसै,eng,Translation
1383,black,खुंगा,dum,Translation
1384,white,फुथार,var,Translation
1385,orange,नारेङ्गि रोङ,orange,Translation
1386,pink,गुलाफि,pink,Translation
1387,brown,दाम रोङ,vawk,Translation
1388,purple,बेगुनि,sen dum,Translation
1389,gray,सोहाय रोङ,var dum,Translation
1390,gold,सुनहरा,senai,Translation
1391,silver,चाँदी,silfar,Translation
1392,color,रंग,sen,Translation
1393,square,चौकोर,square,Translation
1394,triangle,सामफोर,triangle,Translation
1395,rectangle,आयत,rectangle,Translation
1396,line,लाइन,line,Translation
1397,shape,आकृति,shape,Translation
1398,size,आकार,size,Translation
1399,weight,वजन,rit,Translation
1400,length,लंबाई,sei,Translation
1401,height,ऊंचाई,sang,Translation
1402,width,चौड़ाई,lei,Translation
1403,depth,गहराई,um,Translation
1404,area,क्षेत्रफल,hmun zat,Translation
1405,volume,आयतन,vol,Translation
1406,number,नम्बर,phal,Translation
1407,one,सै,khat,Translation
1408,two,नै,pahnih,Translation
1409,three,थाम,pathum,Translation
1410,four,ब्राय,pali,Translation
1411,five,बा,panga,Translation
1412,six,रो,ruk,Translation
1413,seven,श्नि,sarih,Translation
1414,eight,जात,riat,Translation
1415,nine,स्कौ,kua,Translation
1416,ten,दस,sawm,Translation
1417,twenty,कुइ,sawm pahnih,Translation
1418,thirty,तिनकुइ,sawm thum,Translation
1419,forty,ब्राइकुइ,sawm pali,Translation
1420,fifty,बायकुइ,sawm panga,Translation
1421,hundred,सै,za,Translation
1422,thousand,हजार,za nget,Translation
1423,million,दस लाख,million,Translation
1424,first,गिबि,hmasa,Translation
1425,second,सेकंड,second,Translation
1426,third,तीसरा,pathumna,Translation
1427,next,आगामी,hnua la,Translation
1428,previous,पिछला,hmain la,Translation
1429,school,स्कुल,school,Translation
1430,classroom,कखा,classroom,Translation
1431,campus,परिसर,campus,Translation
1432,teacher,उखार,zirtirtu,Translation
1433,student,सुबुं,zirlaite,Translation
1434,principal,प्रधानाचार्य,sorkar,Translation
1435,coach,कोच,coach,Translation
1436,tutor,गृहशिक्षक,tutor,Translation
1437,mentor,मार्गदर्शक,guide,Translation
1438,classmate,सहपाठी,classroom midang,Translation
1439,friend,गिबिर,thian,Translation
1440,book,किताब,lehkhabu,Translation
1441,pen,कलम,pen,Translation
1442,pencil,पेंसिल,pencil,Translation
1443,notebook,फोरमा,lehkhabu,Translation
1444,desk,तेबुल,tawltlang,Translation
1445,chair,फुंसा,tumbawh,Translation
1446,blackboard,काली पट्टी,board dum,Translation
1447,whiteboard,सफेद पट्टी,board var,Translation
1448,board,बोर्ड,board,Translation
1449,chalk,सुफुर,chalk,Translation
1450,eraser,मेसनाय,eraser,Translation
1451,ruler,खुनदै,scale,Translation
1452,library,पुस्तकालय,library,Translation
1453,lab,लैब,lab,Translation
1454,subject,विषय,zirthing,Translation
1455,math,गणित,mathematics,Translation
1456,science,विज्ञान,science,Translation
1457,history,इतिहास,history,Translation
1458,geography,भूगोल,geography,Translation
1459,language,भाषा,language,Translation
1460,arts,कला,arts,Translation
1461,sport,खेल,sport,Translation
1462,music,संगीत,music,Translation
1463,computer,कंप्यूटर,computer,Translation
1464,english,अंग्रेजी,english,Translation
1465,bodo,बोडो,bodo,Translation
1466,mizo,मिजो,mizo,Translation
1467,mother tongue,मातृभाषा,mother language,Translation
1468,regional language,क्षेत्रीय भाषा,region language,Translation
1469,homework,होमवर्क,hriselna thawn,Translation
1470,exam,परीखा,inkhawm thleng,Translation
1471,test,परीखा,test,Translation
1472,question,सवाल,zawhna,Translation
1473,practice,अभ्यास,practice,Translation
1474,example,उदाहरण,example,Translation
1475,exercise,व्यायाम,thawk,Translation
1476,project,परियोजना,project,Translation
1477,group,समूह,group,Translation
1478,pair,जोड़ी,paihra,Translation
1479,presentation,प्रस्तुति,presentation,Translation
1480,assignment,कार्य,thawk,Translation
1481,report,रिपोर्ट,report,Translation
1482,quiz,प्रश्नोत्तरी,quiz,Translation
1483,revision,पुनरावृत्ति,review,Translation
1484,summary,सारांश,summary,Translation
1485,notes,नोट्स,notes,Translation
1486,dictionary,शब्दकोश,dictionary,Translation
1487,thesaurus,पर्यायवाची,thesaurus,Translation
1488,example sentence,उदाहरण वाक्य,sentence example,Translation
1489,practice question,अभ्यास प्रश्न,practice zawhna,Translation
1490,lesson,पाठ,lesson,Translation
1491,class,कक्षा,class,Translation
1492,period,घंटा,darkar,Translation
1493,break,विश्राम,rest,Translation
1494,lunch,दोपहर का खाना,tlêm chaw,Translation
1495,assembly,सभा,assembly,Translation
1496,holiday,छुट्टी,ni khum,Translation
1497,vacation,अवकाश,ni an,Translation
1498,term,अवधि,term,Translation
1499,semester,सेमेस्टर,semester,Translation
1500,yearly,वार्षिक,kum,Translation
1501,monthly,मासिक,thla,Translation
1502,weekly,साप्ताहिक,kar,Translation
1503,daily,दैनिक,ni,Translation
1504,time,समय,hun,Translation
1505,today,आज,tun ni,Translation
1506,tomorrow,कल,tukleha,Translation
1507,yesterday,कल,zanin,Translation
1508,now,अभी,nisa,Translation
1509,later,बाद में,hnua la,Translation
1510,soon,जल्द,tui zet,Translation
1511,always,हमेशा,zawng zawng,Translation
1512,never,कभी नहीं,aih lo,Translation
1513,sometimes,कभी-कभी,diw diw,Translation
1514,often,अक्सर,nasa nasa,Translation
1515,rarely,कम,hlem,Translation
1516,usually,आमतौर पर,nasa zawk,Translation
1517,again,फिर,thawh,Translation
1518,morning,सुबह,zing,Translation
1519,afternoon,दोपहर,tlêm,Translation
1520,evening,शाम,zan tlêm,Translation
1521,night,रात,zan,Translation
1522,day,दिन,ni,Translation
1523,week,सप्ताह,kar,Translation
1524,month,महीना,thla,Translation
1525,year,साल,kum,Translation
1526,hour,घंटा,darkar,Translation
1527,minute,मिनट,minute,Translation
1528,timetable,समय सारणी,hun siam,Translation
1529,deadline,समय सीमा,hun khat,Translation
1530,due,देय,hun lo,Translation
1531,late,देर,tling,Translation
1532,immediate,तुरंत,nisa,Translation
1533,attendance,उपस्थिति,lo,Translation
1534,present,मौजूद,lo,Translation
1535,absent,अनुपस्थित,aih lo,Translation
1536,permission,अनुमति,duh,Translation
1537,people,लोग,mi,Translation
1538,mother,माता,nu,Translation
1539,father,पिता,pa,Translation
1540,brother,भाई,naupa,Translation
1541,sister,बहन,thlai,Translation
1542,son,पुत्र,fapa,Translation
1543,daughter,पुत्री,fate,Translation
1544,grandfather,दादा,tetu,Translation
1545,grandmother,दादी,pui,Translation
1546,uncle,चाचा,nau pa,Translation
1547,aunt,चाची,nau nu,Translation
1548,husband,पति,pa,Translation
1549,wife,पत्नी,nu,Translation
1550,child,बच्चा,naupang,Translation
1551,baby,शिशु,naupang te,Translation
1552,family,परिवार,pui,Translation
1553,home,घर,in,Translation
1554,village,गांव,zaitu,Translation
1555,town,कस्बा,town,Translation
1556,city,शहर,khawpui,Translation
1557,state,राज्य,hmun,Translation
1558,country,देश,ram,Translation
1559,capital,राजधानी,khawpui ber,Translation
1560,street,सड़क,lam,Translation
1561,road,रास्ता,kawng,Translation
1562,address,पता,hmun,Translation
1563,phone,फोन,phone,Translation
1564,email,ईमेल,email,Translation
1565,guardian,अभिभावक,enkawl,Translation
1566,name,नाम,hming,Translation
1567,age,आयु,ni zat,Translation
1568,gender,लिंग,pa nu,Translation
1569,roll number,रोल नंबर,phal zat,Translation
1570,ID card,पहचान पत्र,ID card,Translation
1571,place,स्थान,hmun,Translation
1572,bank,बैंक,bank,Translation
1573,post office,डाकघर,post office,Translation
1574,hospital,अस्पताल,hospital,Translation
1575,clinic,क्लिनिक,clinic,Translation
1576,pharmacy,दवाखाना,pharmacy,Translation
1577,police station,पुलिस स्टेशन,police station,Translation
1578,fire station,अग्निशमन स्टेशन,fire station,Translation
1579,bus stop,बस स्टॉप,bus stop,Translation
1580,train station,रेलवे स्टेशन,train station,Translation
1581,airport,हवाई अड्डा,airport,Translation
1582,station,स्टेशन,station,Translation
1583,market,बाजार,market,Translation
1584,shop,दुकान,shop,Translation
1585,vehicle,वाहन,motor,Translation
1586,car,कार,motor,Translation
1587,bus,बस,bus,Translation
1588,train,ट्रेन,train,Translation
1589,bicycle,साइकिल,baisakul,Translation
1590,motorbike,मोटरबाइक,motorbike,Translation
1591,truck,ट्रक,truck,Translation
1592,taxi,टैक्सी,taxi,Translation
1593,boat,नाव,lawng,Translation
1594,ship,जहाज,ship,Translation
1595,plane,हवाई जहाज,plane,Translation
1596,ticket,टिकट,ticket,Translation
1597,fare,किराया,thlan,Translation
1598,trip,यात्रा,trip,Translation
1599,journey,यात्रा,journey,Translation
1600,food,खाना,chaw,Translation
1601,rice,चावल,buh,Translation
1602,bread,ब्रेड,puawn,Translation
1603,water,पानी,tui,Translation
1604,milk,दूध,tui tul,Translation
1605,tea,चाय,ti,Translation
1606,coffee,कॉफी,coffee,Translation
1607,juice,जूस,juice,Translation
1608,egg,अंडा,arhte,Translation
1609,meat,मांस,sa,Translation
1610,fish,मछली,sangha,Translation
1611,chicken,चिकन,ar,Translation
1612,fruit,फल,thei,Translation
1613,vegetable,सब्जी,thing hring,Translation
1614,salt,नमक,chi,Translation
1615,sugar,शक्कर,chhe,Translation
1616,spice,मसाला,ka,Translation
1617,oil,तेल,thau,Translation
1618,butter,माखन,sak puan,Translation
1619,honey,शहद,khuai,Translation
1620,breakfast,नाश्ता,zing chaw,Translation
1621,dinner,रात का खाना,zan chaw,Translation
1622,snack,नाश्ता,chaw te,Translation
1623,menu,मेनू,menu,Translation
1624,price,कीमत,thlan,Translation
1625,vegetarian,शाकाहारी,thing hring ei,Translation
1626,money,पैसा,sum,Translation
1627,customer,ग्राहक,customer,Translation
1628,receipt,रसीद,receipt,Translation
1629,bill,बिल,bill,Translation
1630,wallet,बटुआ,wallet,Translation
1631,clothes,कपड़े,thawhtute,Translation
1632,shirt,शर्ट,shirt,Translation
1633,pants,पैंट,pants,Translation
1634,skirt,स्कर्ट,skirt,Translation
1635,dress,ड्रेस,dress,Translation
1636,shoe,जूता,kengkawng,Translation
1637,socks,मोजे,socks,Translation
1638,hat,टोपी,lukawng,Translation
1639,cap,कैप,cap,Translation
1640,bag,बैग,khaw,Translation
1641,bottle,बोतल,bottle,Translation
1642,glass,गिलास,glass,Translation
1643,plate,प्लेट,bel,Translation
1644,spoon,चम्मच,theikhia,Translation
1645,fork,कांटा,fork,Translation
